subject	predicate	object	relation	primary_knowledge_source
KEGG:K00037	biolink:participates_in	KEGG:M00104	RO:0000056	infores:kegg
KEGG:K00037	biolink:participates_in	KEGG:M00977	RO:0000056	infores:kegg
KEGG:K00038	biolink:participates_in	KEGG:map00140	RO:0000056	infores:kegg
KEGG:K00038	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00039	biolink:participates_in	KEGG:map00040	RO:0000056	infores:kegg
KEGG:K00039	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00040	biolink:participates_in	KEGG:map00040	RO:0000056	infores:kegg
KEGG:K00040	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00040	biolink:participates_in	KEGG:M00061	RO:0000056	infores:kegg
KEGG:K00041	biolink:participates_in	KEGG:map00040	RO:0000056	infores:kegg
KEGG:K00041	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00041	biolink:participates_in	KEGG:M00631	RO:0000056	infores:kegg
KEGG:K00042	biolink:participates_in	KEGG:map00630	RO:0000056	infores:kegg
KEGG:K00042	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00043	biolink:participates_in	KEGG:map00650	RO:0000056	infores:kegg
KEGG:K00043	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00043	biolink:participates_in	KEGG:map01200	RO:0000056	infores:kegg
KEGG:K00044	biolink:participates_in	KEGG:map00140	RO:0000056	infores:kegg
KEGG:K00044	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00044	biolink:participates_in	KEGG:map04913	RO:0000056	infores:kegg
KEGG:K00045	biolink:participates_in	KEGG:map00051	RO:0000056	infores:kegg
KEGG:K00045	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00048	biolink:participates_in	KEGG:map00630	RO:0000056	infores:kegg
KEGG:K00048	biolink:participates_in	KEGG:map00640	RO:0000056	infores:kegg
KEGG:K00048	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00048	biolink:participates_in	KEGG:map01120	RO:0000056	infores:kegg
KEGG:K00049	biolink:participates_in	KEGG:map00260	RO:0000056	infores:kegg
KEGG:K00049	biolink:participates_in	KEGG:map00620	RO:0000056	infores:kegg
KEGG:K00049	biolink:participates_in	KEGG:map00630	RO:0000056	infores:kegg
KEGG:K00049	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00049	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00049	biolink:participates_in	KEGG:map01120	RO:0000056	infores:kegg
KEGG:K00051	biolink:participates_in	KEGG:map00620	RO:0000056	infores:kegg
KEGG:K00051	biolink:participates_in	KEGG:map00710	RO:0000056	infores:kegg
KEGG:K00051	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00051	biolink:participates_in	KEGG:map01120	RO:0000056	infores:kegg
KEGG:K00051	biolink:participates_in	KEGG:map01200	RO:0000056	infores:kegg
KEGG:K00051	biolink:participates_in	KEGG:M00172	RO:0000056	infores:kegg
KEGG:K00052	biolink:participates_in	KEGG:map00290	RO:0000056	infores:kegg
KEGG:K00052	biolink:participates_in	KEGG:map00660	RO:0000056	infores:kegg
KEGG:K00052	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00052	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00052	biolink:participates_in	KEGG:map01210	RO:0000056	infores:kegg
KEGG:K00052	biolink:participates_in	KEGG:map01230	RO:0000056	infores:kegg
KEGG:K00052	biolink:participates_in	KEGG:M00432	RO:0000056	infores:kegg
KEGG:K00052	biolink:participates_in	KEGG:M00535	RO:0000056	infores:kegg
KEGG:K00053	biolink:participates_in	KEGG:map00290	RO:0000056	infores:kegg
KEGG:K00053	biolink:participates_in	KEGG:map00770	RO:0000056	infores:kegg
KEGG:K00053	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00053	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00053	biolink:participates_in	KEGG:map01210	RO:0000056	infores:kegg
KEGG:K00053	biolink:participates_in	KEGG:map01230	RO:0000056	infores:kegg
KEGG:K00053	biolink:participates_in	KEGG:M00019	RO:0000056	infores:kegg
KEGG:K00053	biolink:participates_in	KEGG:M00570	RO:0000056	infores:kegg
KEGG:K00054	biolink:participates_in	KEGG:map00900	RO:0000056	infores:kegg
KEGG:K00054	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00054	biolink:participates_in	KEGG:M00849	RO:0000056	infores:kegg
KEGG:K00055	biolink:participates_in	KEGG:map00350	RO:0000056	infores:kegg
KEGG:K00055	biolink:participates_in	KEGG:map00360	RO:0000056	infores:kegg
KEGG:K00055	biolink:participates_in	KEGG:map00622	RO:0000056	infores:kegg
KEGG:K00055	biolink:participates_in	KEGG:map00623	RO:0000056	infores:kegg
