orig_node	entity_uri
Prevotella tannerae	NCBITaxon:76122
Tannerella	NCBITaxon:195950
Aneurinibacillus	NCBITaxon:55079
Papillibacter	NCBITaxon:100175
Marvinbryantia	NCBITaxon:248744
Tyzzerella nexilis	NCBITaxon:29361
Coprococcus eutactus	NCBITaxon:33043
Microbacterium	NCBITaxon:33882
Anoxybacillus	NCBITaxon:150247
Campylobacter	NCBITaxon:194
Bacteroides finegoldii	NCBITaxon:338188
Ruminococcus obeum	NCBITaxon:40520
Dorea formicigenerans	NCBITaxon:39486
Lachnobacterium bovis	NCBITaxon:140626
Pseudobutyrivibrio ruminis	NCBITaxon:46206
Bacteroides capillosus	NCBITaxon:106588
Dialister pneumosintes	NCBITaxon:39950
Megamonas hypermegale	NCBITaxon:158847
Acidaminobacter	NCBITaxon:65402
Citrobacter farmeri	NCBITaxon:67824
Fusobacterium nucleatum	NCBITaxon:851
Epilithonimonas	NCBITaxon:59732
Flavobacterium	NCBITaxon:237
Pedobacter	NCBITaxon:84567
Caulobacter	NCBITaxon:75
Brevundimonas	NCBITaxon:41275
Sphingomonas	NCBITaxon:13687
Acidovorax	NCBITaxon:12916
Janthinobacterium	NCBITaxon:29580
Buttiauxella	NCBITaxon:82976
Rahnella	NCBITaxon:34037
Acinetobacter	NCBITaxon:469
Psychrobacter	NCBITaxon:497
Pseudomonas	NCBITaxon:286
Stenotrophomonas	NCBITaxon:40323
Atopobium	NCBITaxon:1380
Aquabacterium	NCBITaxon:92793
Cloacibacterium	NCBITaxon:501783
Ochrobactrum	NCBITaxon:528
Paraprevotella	NCBITaxon:577309
Acidocella	NCBITaxon:50709
Mogibacterium	NCBITaxon:86331
Klebsiella	NCBITaxon:570
Anaerostipes	NCBITaxon:207244
Porphyromonas	NCBITaxon:836
Anaerococcus	NCBITaxon:165779
Slackia	NCBITaxon:84108
Anaeroglobus	NCBITaxon:156454
Lactobacillus gasseri	NCBITaxon:1596
Lactobacillus salivarius	NCBITaxon:1624
Desulfurispirillum indicum	NCBITaxon:936456
Clostridium beijerinckii	NCBITaxon:1520
Clostridium botulinum	NCBITaxon:1491
Pyramidobacter piscolens	NCBITaxon:638849
Clostridium thermocellum	NCBITaxon:1515
Eubacterium yurii	NCBITaxon:39498
Eubacterium nodatum	NCBITaxon:1161902
Lactobacillus reuteri	NCBITaxon:1598
Lactobacillus plantarum	NCBITaxon:1590
Actinomyces viscosus	NCBITaxon:1656
Campylobacter concisus	NCBITaxon:199
Veillonella parvula	NCBITaxon:29466
Filifactor alocis	NCBITaxon:143361
Bacteroidetes	NCBITaxon:976
Bifidobacterium infantis	NCBITaxon:1682
Selenomonas noxia	NCBITaxon:135083
Streptococcus oralis	NCBITaxon:1303
Streptococcus gordonii	NCBITaxon:1302
Peptostreptococcus micros	NCBITaxon:33033
Streptococcus constellatus	NCBITaxon:76860
Prevotella intermedia	NCBITaxon:28131
Prevotella nigrescens	NCBITaxon:28133
Capnocytophaga ochracea	NCBITaxon:1018
Porphyromonas gingivalis	NCBITaxon:837
Capnocytophaga sputigena	NCBITaxon:1019
Tanerella forsythia	NCBITaxon:28112
Capnocytophaga gingivalis	NCBITaxon:1017
Neisseria mucosa	NCBITaxon:488
Aggregatibacter actinomycetemcomitans	NCBITaxon:714
Campylobacter rectus	NCBITaxon:203
Eikenella corrodens	NCBITaxon:539
Fusobacterium periodonticum	NCBITaxon:860
Treponema socranskii	NCBITaxon:53419
Treponema denticola	NCBITaxon:158
Gammaproteobacteria	NCBITaxon:1236
Staphylococcus epidermidis	NCBITaxon:1282
Clostridium cluster IV	NCBITaxon:not_found
Mitis group streptococci	NCBITaxon:not_found
Burkholderia	NCBITaxon:32008
Bifidobacterium bifidum	NCBITaxon:1681
Bacteroides-Prevotella group	NCBITaxon:not_found
Rikenellaceae	NCBITaxon:171550
Brachyspira	NCBITaxon:29521
Barnesiellaceae	NCBITaxon:397864
Peptostreptococcaceae	NCBITaxon:186804
Verrucomicrobium	NCBITaxon:2735
Erwinia	NCBITaxon:551
Trabsulsiella	NCBITaxon:158851
Rikenella	NCBITaxon:28138
Streptococcus parasanguinis	NCBITaxon:1318
Blautia obeum	NCBITaxon:40520
Enterococcus sp. NBRC 107345	NCBITaxon:1114161
Lactobacillus iners	NCBITaxon:147802
Lactobacillus crispatus	NCBITaxon:47770
Bulleidia moorei	NCBITaxon:102148
Bulleidia	NCBITaxon:118747
Coprococcus catus	NCBITaxon:116085
Eubacterium biforme	NCBITaxon:1735
Catenibacterium mitsuokai	NCBITaxon:100886
Prevotella stercorea	NCBITaxon:363265
Dialister propionicifaciens	NCBITaxon:308994
Mitsuokella jalaludinii	NCBITaxon:187979
Allisonella histaminiformans	NCBITaxon:209880
Megasphaera elsdenii	NCBITaxon:907
Acidaminococcus fermentans	NCBITaxon:905
Pseudomonadales	NCBITaxon:72274
Veillonella dispar	NCBITaxon:39778
