subject	predicate	object	relation	provided_by
CHEBI:18420	biolink:binds_to	A0A358LCR6		Uniprot
CHEBI:18420	biolink:binds_to	A0A6N8BU93		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6UBA1		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1U7Z3		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1U8X1		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6UBI5		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1U863		Uniprot
CHEBI:18420	biolink:binds_to	A0A525CGY9		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6UAZ4		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6UC99		Uniprot
CHEBI:18420	biolink:binds_to	A0A2X3UII2		Uniprot
CHEBI:18420	biolink:binds_to	A0A369MTY1		Uniprot
CHEBI:18420	biolink:binds_to	A0A369MUF2		Uniprot
CHEBI:18420	biolink:binds_to	A0A369MUF7		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6XRN3		Uniprot
CHEBI:18420	biolink:binds_to	A0A525CEG7		Uniprot
CHEBI:18420	biolink:binds_to	A0A5C5C716		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6U951		Uniprot
CHEBI:18420	biolink:binds_to	A0A525CI81		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6UAU4		Uniprot
CHEBI:18420	biolink:binds_to	A0A349MYQ8		Uniprot
CHEBI:18420	biolink:binds_to	A0A369MS94		Uniprot
CHEBI:18420	biolink:binds_to	A0A358LD23		Uniprot
CHEBI:18420	biolink:binds_to	A0A349MYU0		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6UAC8		Uniprot
CHEBI:18420	biolink:binds_to	A0A5C5C784		Uniprot
CHEBI:18420	biolink:binds_to	A0A358LDL3		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6UAE6		Uniprot
CHEBI:18420	biolink:binds_to	A0A525CJW5		Uniprot
CHEBI:18420	biolink:binds_to	A0A369MSZ9		Uniprot
CHEBI:18420	biolink:binds_to	A0A369MT71		Uniprot
CHEBI:18420	biolink:binds_to	A0A525CJC7		Uniprot
CHEBI:18420	biolink:binds_to	A0A8D6UAM7		Uniprot
CHEBI:18420	biolink:binds_to	A0A349MZ00		Uniprot
CHEBI:18420	biolink:binds_to	A0A358LDF0		Uniprot
CHEBI:18420	biolink:binds_to	A0A369N0G3		Uniprot
CHEBI:18420	biolink:binds_to	A0A349MXQ8		Uniprot
CHEBI:18420	biolink:binds_to	A0A525C543		Uniprot
CHEBI:18420	biolink:binds_to	A0A349MV99		Uniprot
CHEBI:18420	biolink:binds_to	A0A0A7HG95		Uniprot
CHEBI:18420	biolink:binds_to	A0A2S4DYF2		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1UA05		Uniprot
CHEBI:18420	biolink:binds_to	A0A3C0RUR4		Uniprot
CHEBI:18420	biolink:binds_to	A0A6N8BM75		Uniprot
CHEBI:18420	biolink:binds_to	A0A6N8BMJ1		Uniprot
CHEBI:18420	biolink:binds_to	A0A369NCG8		Uniprot
CHEBI:18420	biolink:binds_to	A0A3C0RUS9		Uniprot
CHEBI:18420	biolink:binds_to	A0A369NUG4		Uniprot
CHEBI:18420	biolink:binds_to	A0A7X7BQ16		Uniprot
CHEBI:18420	biolink:binds_to	A0A3C0RV45		Uniprot
CHEBI:18420	biolink:binds_to	A0A6N8BLD7		Uniprot
CHEBI:18420	biolink:binds_to	A0A3D1U8M4		Uniprot
