id	xref
UPA:UCR00551	METACYC:ARGINASE-RXN
UPA:UCR00551	RHEA:20572
UPA:UCR00552	KEGG:R00552
UPA:UCR00552	METACYC:ARGININE-DEIMINASE-RXN
UPA:UCR00552	RHEA:19600
UPA:UCR00565	KEGG:R00565
UPA:UCR00565	METACYC:GLYCINE-AMIDINOTRANSFERASE-RXN
UPA:UCR00565	RHEA:13204
UPA:UCR00566	KEGG:R00566
UPA:UCR00566	METACYC:ARGDECARBOX-RXN
UPA:UCR00566	RHEA:17644
UPA:UCR00570	KEGG:R00570
UPA:UCR00570	METACYC:CDPKIN-RXN
UPA:UCR00570	RHEA:25240
UPA:UCR00571	KEGG:R00571
UPA:UCR00571	RHEA:16600
UPA:UCR00575	KEGG:R00575
UPA:UCR00575	METACYC:CARBPSYN-RXN
UPA:UCR00575	RHEA:18636
UPA:UCR00578	KEGG:R00578
UPA:UCR00578	METACYC:ASNSYNB-RXN
UPA:UCR00578	RHEA:12231
UPA:UCR00582	KEGG:R00582
UPA:UCR00582	METACYC:RXN0-5114
UPA:UCR00582	RHEA:21211
UPA:UCR00585	KEGG:R00585
UPA:UCR00585	METACYC:SERINE--PYRUVATE-AMINOTRANSFERASE-RXN
UPA:UCR00585	RHEA:22855
UPA:UCR00586	KEGG:R00586
UPA:UCR00586	METACYC:SERINE-O-ACETTRAN-RXN
UPA:UCR00586	RHEA:24563
UPA:UCR00605	KEGG:R00605
UPA:UCR00605	METACYC:METHANOL-DEHYDROGENASE-RXN
UPA:UCR00605	RHEA:19404
UPA:UCR00606	KEGG:R00606
UPA:UCR00606	METACYC:RXN-2841
UPA:UCR00606	RHEA:30210
UPA:UCR00611	KEGG:R00611
UPA:UCR00611	METACYC:SARCOSINE-DEHYDROGENASE-RXN
UPA:UCR00611	RHEA:19796
UPA:UCR00617	KEGG:R00617
UPA:UCR00617	METACYC:THI-P-KIN-RXN
UPA:UCR00617	RHEA:15916
UPA:UCR00619	KEGG:R00619
UPA:UCR00619	METACYC:THIAMIN-PYROPHOSPHOKINASE-RXN
UPA:UCR00619	RHEA:11579
UPA:UCR00640	KEGG:R00640
UPA:UCR00640	METACYC:GALACTONOLACTONE-DEHYDROGENASE-RXN
UPA:UCR00640	RHEA:14760
UPA:UCR00647	KEGG:R00647
UPA:UCR00647	METACYC:RXN-8784
UPA:UCR00647	RHEA:15272
UPA:UCR00658	KEGG:R00658
UPA:UCR00658	METACYC:2PGADEHYDRAT-RXN
UPA:UCR00658	RHEA:10167
UPA:UCR00667	KEGG:R00667
UPA:UCR00667	METACYC:ORNITHINE-GLU-AMINOTRANSFORASE-RXN
UPA:UCR00667	RHEA:25163
UPA:UCR00669	KEGG:R00669
UPA:UCR00669	METACYC:ACETYLORNDEACET-RXN
UPA:UCR00669	RHEA:15944
UPA:UCR00670	KEGG:R00670
UPA:UCR00670	METACYC:ORNDECARBOX-RXN
UPA:UCR00670	RHEA:22967
UPA:UCR00671	KEGG:R00671
UPA:UCR00671	METACYC:ORNITHINE-CYCLODEAMINASE-RXN
UPA:UCR00671	RHEA:24371
UPA:UCR00673	KEGG:R00673
UPA:UCR00673	METACYC:TRYPTOPHAN-RXN
UPA:UCR00673	RHEA:19556
UPA:UCR00674	KEGG:R00674
UPA:UCR00674	METACYC:RXN0-2382
UPA:UCR00674	RHEA:26437
UPA:UCR00678	KEGG:R00678
UPA:UCR00678	METACYC:RXN-8665
UPA:UCR00678	RHEA:24539
UPA:UCR00688	KEGG:R00688
UPA:UCR00688	METACYC:PHENYLALANINE-DEHYDROGENASE-RXN
UPA:UCR00688	RHEA:21411
UPA:UCR00691	KEGG:R00691
UPA:UCR00691	METACYC:CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN
UPA:UCR00691	RHEA:12539
UPA:UCR00694	KEGG:R00694
UPA:UCR00694	METACYC:PHEAMINOTRANS-RXN
UPA:UCR00694	RHEA:25155
UPA:UCR00697	KEGG:R00697
UPA:UCR00697	METACYC:PHENYLALANINE-AMMONIA-LYASE-RXN
UPA:UCR00697	RHEA:21387
UPA:UCR00699	KEGG:R00699
UPA:UCR00699	METACYC:PHENYLALANINE-DECARBOXYLASE-RXN
UPA:UCR00699	RHEA:19720
UPA:UCR00703	KEGG:R00703
UPA:UCR00703	METACYC:L-LACTATE-DEHYDROGENASE-RXN
UPA:UCR00703	RHEA:23447
UPA:UCR00705	KEGG:R00705
UPA:UCR00705	METACYC:RXN-2902
UPA:UCR00705	RHEA:22995
UPA:UCR00706	KEGG:R00706
UPA:UCR00706	METACYC:1.2.1.18-RXN
UPA:UCR00706	RHEA:22991
UPA:UCR00707	KEGG:R00707
UPA:UCR00707	METACYC:PYRROLINECARBDEHYDROG-RXN
UPA:UCR00707	METACYC:RXN-11632
UPA:UCR00707	RHEA:16420
UPA:UCR00707	RHEA:24893
UPA:UCR00709	KEGG:R00709
UPA:UCR00709	METACYC:ISOCITRATE-DEHYDROGENASE-NAD+-RXN
UPA:UCR00709	METACYC:RXN-7969
UPA:UCR00709	RHEA:23635
UPA:UCR00710	KEGG:R00710
UPA:UCR00710	METACYC:RXN66-3
UPA:UCR00710	RHEA:25297
UPA:UCR00713	KEGG:R00713
UPA:UCR00713	METACYC:SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
UPA:UCR00713	RHEA:13220
UPA:UCR00714	KEGG:R00714
UPA:UCR00714	METACYC:SUCCSEMIALDDEHYDROG-RXN
UPA:UCR00714	RHEA:13216
UPA:UCR00715	KEGG:R00715
UPA:UCR00715	METACYC:1.5.1.7-RXN
UPA:UCR00715	RHEA:12443
