id	name
HGNC:1385	CABP2
HGNC:1386	CABP4
HGNC:13861	LZTS1
HGNC:13872	RIPOR2
HGNC:13875	FOXP2
HGNC:1388	CACNA1A
HGNC:13886	ABCG5
HGNC:13887	ABCG8
HGNC:1389	CACNA1B
HGNC:13890	ITCH
HGNC:1390	CACNA1C
HGNC:13902	SERPINB7
HGNC:1391	CACNA1D
HGNC:1393	CACNA1F
HGNC:1394	CACNA1G
HGNC:1395	CACNA1H
HGNC:1397	CACNA1S
HGNC:13993	PRDM8
HGNC:13997	PRDM12
HGNC:14000	PRDM16
HGNC:14004	ANO3
HGNC:1402	CACNB2
HGNC:14024	PRY
HGNC:14025	SLC5A7
HGNC:1404	CACNB4
HGNC:14048	MRPS16
HGNC:1406	CACNG2
HGNC:14064	HDAC6
HGNC:14074	FMN2
HGNC:14082	ANLN
HGNC:14103	ARHGEF10
HGNC:14124	NPRL3
HGNC:14135	PIGQ
HGNC:14153	CCDC78
HGNC:14154	LMF1
HGNC:14198	ELAC2
HGNC:14201	JPH1
HGNC:14202	JPH2
HGNC:14203	JPH3
HGNC:1421	SLC25A20
HGNC:14211	BLNK
HGNC:14234	NSD1
HGNC:1424	CAD
HGNC:14244	RAB18
HGNC:14253	CERS1
HGNC:14255	BRPF1
HGNC:14258	CD2AP
HGNC:14262	AUTS2
HGNC:14263	RAB23
HGNC:14270	PCDH19
HGNC:14282	IRF2BPL
HGNC:14287	NLGN4X
HGNC:14289	NLGN3
HGNC:14291	NLGN1
HGNC:14294	SHANK3
HGNC:14295	SHANK2
HGNC:143	ACTC1
HGNC:14304	UNC45B
HGNC:14312	CRIPT
HGNC:14335	PLEKHA1
HGNC:14341	EDARADD
HGNC:14344	C1QTNF5
HGNC:14348	HTRA2
HGNC:14357	MMP21
HGNC:14361	IRX5
HGNC:14372	SCYL1
HGNC:14373	GLMN
HGNC:14374	NLRP1
HGNC:14376	ACP4
HGNC:14377	NHP2
HGNC:14378	NOP10
HGNC:14388	GP6
HGNC:144	ACTG1
HGNC:1440	CALCR
HGNC:14409	SLC25A19
HGNC:14412	AGXT2
HGNC:14415	ELOVL4
HGNC:1442	CALM1
HGNC:14432	TMEM237
HGNC:1445	CALM2
HGNC:14450	LPIN2
HGNC:14468	SLC26A8
HGNC:14508	MRPS22
HGNC:14537	NPC2
HGNC:14539	RNF213
HGNC:14540	WNK1
HGNC:14544	WNK4
HGNC:1455	CALR
HGNC:14550	CDHR1
HGNC:14558	CLEC7A
HGNC:14561	ARHGEF9
HGNC:14579	VPS45
HGNC:14581	PINK1
HGNC:14583	VPS11
HGNC:14604	AMN
HGNC:14628	CDCA7
HGNC:14630	CRELD1
HGNC:14631	ADAMTSL2
HGNC:14632	ADAMTSL1
HGNC:14637	ABCA12
HGNC:14673	FYCO1
HGNC:14674	PCDH15
HGNC:14677	DEAF1
HGNC:1476	CAPN1
HGNC:1477	CAPN10
HGNC:1480	CAPN3
HGNC:1482	CAPN5
HGNC:14857	COG5
HGNC:14867	APOL4
HGNC:14872	ASPN
HGNC:14880	GTPBP3
HGNC:14881	ZEB2
HGNC:14888	DNAJB6
HGNC:14889	DNAJB11
HGNC:14897	ITPKC
HGNC:14906	NIN
HGNC:1492	SHPK
HGNC:14921	TAS2R16
HGNC:14938	PIGT
HGNC:1494	ALX1
HGNC:14951	PPP1R15B
HGNC:14963	GPR101
HGNC:14966	PXDN
HGNC:1497	CASK
HGNC:14974	SNX10
HGNC:14977	SNX14
HGNC:14988	POFUT1
HGNC:1500	CASP10
HGNC:1502	CASP14
HGNC:1509	CASP8
HGNC:1512	CASQ1
HGNC:1513	CASQ2
HGNC:1514	CASR
HGNC:1515	CAST
HGNC:1516	CAT
HGNC:1527	CAV1
HGNC:1529	CAV3
HGNC:1530	MICU1
HGNC:1540	SERPINA6
HGNC:1541	CBL
HGNC:15446	PRPF31
HGNC:15454	SHOC2
HGNC:15455	MBTPS2
HGNC:15459	P2RX2
HGNC:1546	SERPINH1
HGNC:15464	SPINK5
HGNC:15465	GPHN
HGNC:15469	DNAJC6
HGNC:15480	DIAPH3
HGNC:15492	ANKH
HGNC:1550	CBS
HGNC:15505	MBOAT7
HGNC:15506	TSEN34
HGNC:15508	PUS1
HGNC:15511	VANGL2
HGNC:15512	VANGL1
HGNC:15516	XYLT1
HGNC:15517	XYLT2
HGNC:1552	CBX2
HGNC:15520	LPAR6
