subject	predicate	object	relation	primary_knowledge_source
NCBITaxon:197	biolink:occurs_in	mediadive.medium:693	BAO:0002924	bacdive:2153
NCBITaxon:173041	biolink:occurs_in	mediadive.medium:931	BAO:0002924	bacdive:1404
NCBITaxon:1409	biolink:occurs_in	mediadive.medium:1	BAO:0002924	bacdive:822
NCBITaxon:2293571	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:158473
NCBITaxon:1409	biolink:occurs_in	mediadive.medium:514	BAO:0002924	bacdive:157607
NCBITaxon:1134435	biolink:occurs_in	mediadive.medium:830	BAO:0002924	bacdive:130655
NCBITaxon:1268254	biolink:occurs_in	mediadive.medium:104	BAO:0002924	bacdive:24765
NCBITaxon:1176177	biolink:occurs_in	mediadive.medium:830	BAO:0002924	bacdive:24174
NCBITaxon:1886	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:14920
NCBITaxon:29382	biolink:occurs_in	mediadive.medium:92	BAO:0002924	bacdive:14613
NCBITaxon:33	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:9663
NCBITaxon:83462	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:9474
NCBITaxon:184914	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:9123
NCBITaxon:396322	biolink:occurs_in	mediadive.medium:193	BAO:0002924	bacdive:3948
NCBITaxon:83460	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:3720
NCBITaxon:537013	biolink:occurs_in	mediadive.medium:492	BAO:0002924	bacdive:2743
NCBITaxon:1960309	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:160762
NCBITaxon:1960103	biolink:occurs_in	mediadive.medium:215	BAO:0002924	bacdive:158237
NCBITaxon:1199	biolink:occurs_in	mediadive.medium:1593	BAO:0002924	bacdive:140182
NCBITaxon:1872654	biolink:occurs_in	mediadive.medium:830	BAO:0002924	bacdive:132907
NCBITaxon:1405	biolink:occurs_in	mediadive.medium:1	BAO:0002924	bacdive:132705
NCBITaxon:1550233	biolink:occurs_in	mediadive.medium:714	BAO:0002924	bacdive:130788
NCBITaxon:1470176	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:130583
NCBITaxon:1082851	biolink:occurs_in	mediadive.medium:1	BAO:0002924	bacdive:130255
NCBITaxon:1245591	biolink:occurs_in	mediadive.medium:514a	BAO:0002924	bacdive:24725
NCBITaxon:1301100	biolink:occurs_in	mediadive.medium:104b	BAO:0002924	bacdive:23858
NCBITaxon:1123399	biolink:occurs_in	mediadive.medium:1191	BAO:0002924	bacdive:17081
NCBITaxon:516370	biolink:occurs_in	mediadive.medium:252	BAO:0002924	bacdive:15748
NCBITaxon:67257	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:14960
NCBITaxon:2816960	biolink:occurs_in	mediadive.medium:92	BAO:0002924	bacdive:14692
NCBITaxon:145391	biolink:occurs_in	mediadive.medium:53	BAO:0002924	bacdive:14637
NCBITaxon:74707	biolink:occurs_in	mediadive.medium:92	BAO:0002924	bacdive:14570
NCBITaxon:56	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:12446
NCBITaxon:56	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:12198
NCBITaxon:40215	biolink:occurs_in	mediadive.medium:1	BAO:0002924	bacdive:8085
NCBITaxon:626223	biolink:occurs_in	mediadive.medium:514	BAO:0002924	bacdive:6064
NCBITaxon:48	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:3267
NCBITaxon:2487273	biolink:occurs_in	mediadive.medium:122	BAO:0002924	bacdive:157972
NCBITaxon:210	biolink:occurs_in	mediadive.medium:693	BAO:0002924	bacdive:157654
NCBITaxon:52258	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:139782
NCBITaxon:1408281	biolink:occurs_in	mediadive.medium:1494	BAO:0002924	bacdive:132651
NCBITaxon:1930747	biolink:occurs_in	mediadive.medium:92	BAO:0002924	bacdive:132272
NCBITaxon:1217546	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:132251
NCBITaxon:1290	biolink:occurs_in	mediadive.medium:830	BAO:0002924	bacdive:130701
NCBITaxon:1935	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:16085
NCBITaxon:1931	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:15980
NCBITaxon:54	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:10374
NCBITaxon:83456	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:9892
NCBITaxon:184914	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:9149
NCBITaxon:1270	biolink:occurs_in	mediadive.medium:220	BAO:0002924	bacdive:7706
NCBITaxon:1270	biolink:occurs_in	mediadive.medium:220	BAO:0002924	bacdive:7702
NCBITaxon:46353	biolink:occurs_in	mediadive.medium:92	BAO:0002924	bacdive:7251
NCBITaxon:562	biolink:occurs_in	mediadive.medium:1	BAO:0002924	bacdive:4736
NCBITaxon:562	biolink:occurs_in	mediadive.medium:381	BAO:0002924	bacdive:4732
NCBITaxon:621109	biolink:occurs_in	mediadive.medium:514	BAO:0002924	bacdive:1493
NCBITaxon:86664	biolink:occurs_in	mediadive.medium:220	BAO:0002924	bacdive:681
NCBITaxon:287	biolink:occurs_in	mediadive.medium:92	BAO:0002924	bacdive:160141
NCBITaxon:932217	biolink:occurs_in	mediadive.medium:215	BAO:0002924	bacdive:159581
NCBITaxon:51671	biolink:occurs_in	mediadive.medium:92	BAO:0002924	bacdive:157951
NCBITaxon:1962973	biolink:occurs_in	mediadive.medium:830	BAO:0002924	bacdive:140449
NCBITaxon:1550736	biolink:occurs_in	mediadive.medium:535	BAO:0002924	bacdive:132954
NCBITaxon:1813013	biolink:occurs_in	mediadive.medium:987	BAO:0002924	bacdive:132672
NCBITaxon:650104	biolink:occurs_in	mediadive.medium:514	BAO:0002924	bacdive:131393
NCBITaxon:382	biolink:occurs_in	mediadive.medium:98	BAO:0002924	bacdive:24467
NCBITaxon:53249	biolink:occurs_in	mediadive.medium:514	BAO:0002924	bacdive:24349
