id	category	name	description	xref	provided_by	synonym	iri	object	predicate	relation	same_as	subject	subsets
NCBITaxon:1123399	biolink:OrganismalEntity	Thiolinea disciformis DSM 14473											
mediadive.medium:1191	biolink:ChemicalEntity	EGGC (DSMZ Medium 1191)											
NCBITaxon:516370	biolink:OrganismalEntity	Streptomyces sp. NBRC 13932											
mediadive.medium:252	biolink:ChemicalEntity	STARCH - MINERAL SALT - AGAR (STMS) (DSMZ Medium 252)											
NCBITaxon:67257	biolink:OrganismalEntity	Streptomyces albus subsp. albus											
NCBITaxon:2816960	biolink:OrganismalEntity	Lactococcus cremoris subsp. cremoris											
NCBITaxon:145391	biolink:OrganismalEntity	Staphylococcus hominis subsp. hominis											
mediadive.medium:53	biolink:ChemicalEntity	CORYNEBACTERIUM AGAR (DSMZ Medium 53)											
NCBITaxon:74707	biolink:OrganismalEntity	Staphylococcus schleiferi subsp. schleiferi											
NCBITaxon:40215	biolink:OrganismalEntity	Acinetobacter junii											
NCBITaxon:626223	biolink:OrganismalEntity	Halomonas sabkhae											
NCBITaxon:48	biolink:OrganismalEntity	Archangium gephyra											
NCBITaxon:2487273	biolink:OrganismalEntity	Acetivibrio mesophilus											
mediadive.medium:122	biolink:ChemicalEntity	ACETIVIBRIO MEDIUM (DSMZ Medium 122)											
NCBITaxon:210	biolink:OrganismalEntity	Helicobacter pylori											
NCBITaxon:52258	biolink:OrganismalEntity	Streptomyces flavovirens											
NCBITaxon:1408281	biolink:OrganismalEntity	Endomicrobium proavitum											
mediadive.medium:1494	biolink:ChemicalEntity	OMIZ-PAT (DSMZ Medium 1494)											
NCBITaxon:1930747	biolink:OrganismalEntity	Leucobacter musarum											
NCBITaxon:1217546	biolink:OrganismalEntity	Streptosporangium terrae											
NCBITaxon:1290	biolink:OrganismalEntity	Staphylococcus hominis											
NCBITaxon:1935	biolink:OrganismalEntity	Streptomyces violaceoruber											
NCBITaxon:1270	biolink:OrganismalEntity	Micrococcus luteus											
NCBITaxon:46353	biolink:OrganismalEntity	Agrococcus jenensis											
NCBITaxon:621109	biolink:OrganismalEntity	Virgibacillus subterraneus											
NCBITaxon:86664	biolink:OrganismalEntity	Priestia flexa											
NCBITaxon:287	biolink:OrganismalEntity	Pseudomonas aeruginosa											
NCBITaxon:932217	biolink:OrganismalEntity	Anaerosalibacter bizertensis											
NCBITaxon:51671	biolink:OrganismalEntity	Microbacterium sp.											
NCBITaxon:1962973	biolink:OrganismalEntity	Luteolibacter sp.											
NCBITaxon:1550736	biolink:OrganismalEntity	Corticibacter populi											
NCBITaxon:1813013	biolink:OrganismalEntity	Streptacidiphilus torunensis											
mediadive.medium:987	biolink:ChemicalEntity	ISP2 MEDIUM (DSMZ Medium 987)											
NCBITaxon:650104	biolink:OrganismalEntity	Aquipuribacter nitratireducens											
NCBITaxon:382	biolink:OrganismalEntity	Sinorhizobium meliloti											
NCBITaxon:53249	biolink:OrganismalEntity	Pseudoalteromonas sp.											
NCBITaxon:309801	biolink:OrganismalEntity	Thermomicrobium roseum DSM 5159											
mediadive.medium:592	biolink:ChemicalEntity	THERMOMICROBIUM ROSEUM MEDIUM (DSMZ Medium 592)											
NCBITaxon:478744	biolink:OrganismalEntity	Neolewinella agarilytica											
mediadive.medium:514c	biolink:ChemicalEntity	REACTIVATION WITH LIQUID MEDIUM 514 (DSMZ Medium 514c)											
NCBITaxon:1443112	biolink:OrganismalEntity	Sulfitobacter mediterraneus KCTC 32188											
NCBITaxon:645887	biolink:OrganismalEntity	Alkalibaculum bacchi											
mediadive.medium:545	biolink:ChemicalEntity	TRYPTONE SOYA BROTH (TSB) (DSMZ Medium 545)											
NCBITaxon:47917	biolink:OrganismalEntity	Serratia fonticola											
NCBITaxon:2291	biolink:OrganismalEntity	Desulfobacter hydrogenophilus											
mediadive.medium:195	biolink:ChemicalEntity	DESULFOBACTER MEDIUM (DSMZ Medium 195)											
NCBITaxon:153151	biolink:OrganismalEntity	Parageobacillus toebii											
mediadive.medium:1117	biolink:ChemicalEntity	PYS MEDIUM (DSMZ Medium 1117)											
NCBITaxon:2754899	biolink:OrganismalEntity	Goodfellowiella sp.											
NCBITaxon:121616	biolink:OrganismalEntity	Micromonospora matsumotoense											
NCBITaxon:2527964	biolink:OrganismalEntity	Gimesia aquarii											
mediadive.medium:1560	biolink:ChemicalEntity	PLANCTOMYCES MEDIUM (DSMZ Medium 1560)											
NCBITaxon:28035	biolink:OrganismalEntity	Staphylococcus lugdunensis											
NCBITaxon:1486034	biolink:OrganismalEntity	Lacinutrix venerupis											
NCBITaxon:338645	biolink:OrganismalEntity	Candidatus Contubernalis alkalaceticum											
mediadive.medium:1599	biolink:ChemicalEntity	CONTUBERNALIS MEDIUM (DSMZ Medium 1599)											
NCBITaxon:1871086	biolink:OrganismalEntity	Brevundimonas sp.											
NCBITaxon:33069	biolink:OrganismalEntity	Pseudomonas viridiflava											
NCBITaxon:1280	biolink:OrganismalEntity	Staphylococcus aureus											
NCBITaxon:58118	biolink:OrganismalEntity	Microbispora rosea subsp. rosea											
NCBITaxon:1907	biolink:OrganismalEntity	Streptomyces glaucescens											
