CHEBI:131429	CAS-RN:56897-53-1
CHEBI:131431	CAS-RN:4670-09-1
CHEBI:131434	CAS-RN:44843-89-2
CHEBI:131449	CAS-RN:133080-31-6
CHEBI:131454	CAS-RN:16867-04-2
CHEBI:131456	CAS-RN:26486-14-6
CHEBI:131461	CAS-RN:1113-59-3
CHEBI:131494	CAS-RN:157604-98-3
CHEBI:131497	CAS-RN:6892-74-6
CHEBI:131498	CAS-RN:29125-80-2
CHEBI:131499	CAS-RN:42900-82-3
CHEBI:131500	CAS-RN:72880-75-2
CHEBI:131501	CAS-RN:78420-16-3
CHEBI:131502	CAS-RN:75693-75-3
CHEBI:131503	CAS-RN:74642-79-8
CHEBI:131504	CAS-RN:194423-15-9
CHEBI:131505	CAS-RN:124439-27-6
CHEBI:131510	CAS-RN:3721-28-6
CHEBI:131511	CAS-RN:3721-26-4
CHEBI:131518	CAS-RN:53609-64-6
CHEBI:131526	CAS-RN:584-08-7
CHEBI:131527	CAS-RN:7758-11-4
CHEBI:131528	CAS-RN:108354-12-7
CHEBI:131529	CAS-RN:65-22-5
CHEBI:131531	CAS-RN:5103-96-8
CHEBI:131532	CAS-RN:524-36-7
CHEBI:131580	CAS-RN:13410-30-5
CHEBI:131597	CAS-RN:318290-98-1
CHEBI:131599	CAS-RN:1263629-39-5
CHEBI:131601	CAS-RN:942515-63-1
CHEBI:131603	CAS-RN:22372-29-8
CHEBI:131607	CAS-RN:617-94-7
CHEBI:131608	CAS-RN:18048-87-8
CHEBI:131609	CAS-RN:135575-42-7
CHEBI:131686	CAS-RN:307510-92-5
CHEBI:131712	CAS-RN:73112-73-9
CHEBI:131713	CAS-RN:13741-18-9
CHEBI:131714	CAS-RN:1672-88-4
CHEBI:131715	CAS-RN:40034-42-2
CHEBI:131716	CAS-RN:194804-75-6
CHEBI:131719	CAS-RN:82664-20-8
CHEBI:131721	CAS-RN:65761-24-2
CHEBI:131722	CAS-RN:599-88-2
CHEBI:131723	CAS-RN:515-49-1
CHEBI:131724	CAS-RN:192314-93-5
CHEBI:131726	CAS-RN:56518-41-3
CHEBI:131729	CAS-RN:135889-00-8
CHEBI:131730	CAS-RN:51627-14-6
CHEBI:131731	CAS-RN:56187-47-4
CHEBI:131732	CAS-RN:1926-49-4
CHEBI:131733	CAS-RN:983-85-7
CHEBI:131754	CAS-RN:677021-29-3
CHEBI:131756	CAS-RN:330459-31-9
CHEBI:131762	CAS-RN:1643-20-5
CHEBI:131775	CAS-RN:32769-00-9
CHEBI:131776	CAS-RN:32769-01-0
CHEBI:131777	CAS-RN:53766-40-8
CHEBI:131778	CAS-RN:1670-81-1
CHEBI:131779	CAS-RN:55196-48-0
CHEBI:131784	CAS-RN:88903-69-9
CHEBI:131785	CAS-RN:30195-30-3
CHEBI:131788	CAS-RN:117946-91-5
CHEBI:131792	CAS-RN:74198-15-5
CHEBI:131793	CAS-RN:67287-49-4
CHEBI:131796	CAS-RN:81702-43-4
CHEBI:131800	CAS-RN:62751-59-1
CHEBI:131825	CAS-RN:117182-88-4
CHEBI:131828	CAS-RN:104504-22-5
CHEBI:131831	CAS-RN:97605-26-0
CHEBI:131837	CAS-RN:638198-85-3
CHEBI:131838	CAS-RN:6991-10-2
CHEBI:131839	CAS-RN:629-25-4
CHEBI:131843	CAS-RN:76144-81-5
CHEBI:131845	CAS-RN:558-43-0
CHEBI:131846	CAS-RN:20818-81-9
CHEBI:131848	CAS-RN:92118-27-9
CHEBI:131850	CAS-RN:139637-11-9
CHEBI:131851	CAS-RN:163239-22-3
CHEBI:131855	CAS-RN:71911-90-5
CHEBI:131882	CAS-RN:405554-55-4
CHEBI:131888	CAS-RN:27415-25-4
CHEBI:131914	CAS-RN:548-54-9
CHEBI:131923	CAS-RN:405060-95-9
CHEBI:131941	CAS-RN:38665-10-0
CHEBI:131947	CAS-RN:796967-10-7
CHEBI:131956	CAS-RN:185020-38-6
CHEBI:131968	CAS-RN:133550-30-8
CHEBI:131998	CAS-RN:159518-97-5
CHEBI:131999	CAS-RN:210631-68-8
CHEBI:132041	CAS-RN:95153-31-4
CHEBI:132050	CAS-RN:67018-85-3
CHEBI:132051	CAS-RN:66357-25-3
CHEBI:132053	CAS-RN:79277-67-1
