subject	predicate	object	relation	provided_by
RHEA:11176	biolink:close_match	EC:2.4.1.230	skos:closeMatch	Rhea
RHEA:11180	biolink:close_match	EC:6.1.1.22	skos:closeMatch	Rhea
RHEA:11184	biolink:close_match	EC:3.5.1.6	skos:closeMatch	Rhea
RHEA:11188	biolink:close_match	EC:3.5.5.4	skos:closeMatch	Rhea
RHEA:11192	biolink:close_match	EC:3.8.1.10	skos:closeMatch	Rhea
RHEA:11192	biolink:close_match	EC:3.8.1.2	skos:closeMatch	Rhea
RHEA:11196	biolink:close_match	EC:2.4.2.21	skos:closeMatch	Rhea
RHEA:11204	biolink:close_match	EC:6.3.4.10	skos:closeMatch	Rhea
RHEA:11212	biolink:close_match	EC:1.13.11.17	skos:closeMatch	Rhea
RHEA:11216	biolink:close_match	EC:2.7.4.13	skos:closeMatch	Rhea
RHEA:11224	biolink:close_match	EC:6.3.2.4	skos:closeMatch	Rhea
RHEA:11228	biolink:close_match	EC:1.1.1.234	skos:closeMatch	Rhea
RHEA:11232	biolink:close_match	EC:3.6.2.2	skos:closeMatch	Rhea
RHEA:11236	biolink:close_match	EC:2.5.1.44	skos:closeMatch	Rhea
RHEA:11236	biolink:close_match	EC:2.5.1.45	skos:closeMatch	Rhea
RHEA:11240	biolink:close_match	EC:2.7.4.15	skos:closeMatch	Rhea
RHEA:11248	biolink:close_match	EC:3.1.1.75	skos:closeMatch	Rhea
RHEA:11252	biolink:close_match	EC:2.3.2.7	skos:closeMatch	Rhea
RHEA:11256	biolink:close_match	EC:2.4.1.210	skos:closeMatch	Rhea
RHEA:11260	biolink:close_match	EC:1.6.3.1	skos:closeMatch	Rhea
RHEA:11264	biolink:close_match	EC:1.6.3.1	skos:closeMatch	Rhea
RHEA:11264	biolink:close_match	EC:1.6.3.3	skos:closeMatch	Rhea
RHEA:11268	biolink:close_match	EC:4.4.1.15	skos:closeMatch	Rhea
RHEA:11272	biolink:close_match	EC:1.1.5.10	skos:closeMatch	Rhea
RHEA:11276	biolink:close_match	EC:1.10.3.2	skos:closeMatch	Rhea
RHEA:11280	biolink:close_match	EC:2.1.2.8	skos:closeMatch	Rhea
RHEA:11284	biolink:close_match	EC:1.1.1.167	skos:closeMatch	Rhea
RHEA:11288	biolink:close_match	EC:1.5.3.12	skos:closeMatch	Rhea
RHEA:11292	biolink:close_match	EC:1.10.3.6	skos:closeMatch	Rhea
RHEA:11296	biolink:close_match	EC:1.2.1.26	skos:closeMatch	Rhea
RHEA:11300	biolink:close_match	EC:1.1.1.143	skos:closeMatch	Rhea
RHEA:11304	biolink:close_match	EC:4.3.2.3	skos:closeMatch	Rhea
RHEA:11308	biolink:close_match	EC:6.4.1.2	skos:closeMatch	Rhea
RHEA:11312	biolink:close_match	EC:3.8.1.8	skos:closeMatch	Rhea
RHEA:11316	biolink:close_match	EC:4.8.1.2	skos:closeMatch	Rhea
RHEA:11320	biolink:close_match	EC:5.1.3.5	skos:closeMatch	Rhea
RHEA:11328	biolink:close_match	EC:2.5.1.28	skos:closeMatch	Rhea
RHEA:11332	biolink:close_match	EC:2.7.7.19	skos:closeMatch	Rhea
RHEA:11336	biolink:close_match	EC:2.1.1.99	skos:closeMatch	Rhea
RHEA:11340	biolink:close_match	EC:4.1.1.75	skos:closeMatch	Rhea
RHEA:11344	biolink:close_match	EC:2.7.7.43	skos:closeMatch	Rhea
RHEA:11348	biolink:close_match	EC:7.3.2.7	skos:closeMatch	Rhea
RHEA:11352	biolink:close_match	EC:2.7.2.1	skos:closeMatch	Rhea
RHEA:11364	biolink:close_match	EC:2.7.9.2	skos:closeMatch	Rhea
RHEA:11372	biolink:close_match	EC:6.3.1.1	skos:closeMatch	Rhea
RHEA:11376	biolink:close_match	EC:1.3.1.36	skos:closeMatch	Rhea
RHEA:11380	biolink:close_match	EC:1.14.11.72	skos:closeMatch	Rhea
RHEA:11384	biolink:close_match	EC:1.1.1.99	skos:closeMatch	Rhea
RHEA:11388	biolink:close_match	EC:1.1.1.146	skos:closeMatch	Rhea
RHEA:11392	biolink:close_match	EC:3.1.3.56	skos:closeMatch	Rhea
RHEA:11396	biolink:close_match	EC:2.7.4.19	skos:closeMatch	Rhea
RHEA:11400	biolink:close_match	EC:2.4.1.353	skos:closeMatch	Rhea
RHEA:11404	biolink:close_match	EC:5.1.3.6	skos:closeMatch	Rhea
