tax_id	pathways
392844	sulfate reduction
392844	sulfate reduction
392844	sulfate reduction
28223	sulfate reduction
562	aminoacid degradation
562	aminoacid degradation
1509	aminoacid degradation
53633	tetrathionate oxidation, iron reduction
28034	tetrathionate oxidation, iron reduction
2285	sulfur oxidation, iron reduction
930	sulfur oxidation, iron reduction
920	sulfur oxidation, iron reduction
35554	iron reduction
54265	iron reduction
28034	iron oxidation
41673	iron oxidation
160660	iron oxidation
53633	iron oxidation
53635	iron oxidation
28034	pyrite oxidation
920	pyrite oxidation
160660	pyrite oxidation
41673	pyrite oxidation
28034	pyrite oxidation
43687	pyrite oxidation
47303	pyrite oxidation
47304	pyrite oxidation
160660	pyrite oxidation
41673	pyrite oxidation
79601	pyrrhotite oxidation
28034	chalcopyrite oxidation
43687	chalcopyrite oxidation
47303	chalcopyrite oxidation
47304	chalcopyrite oxidation
160660	chalcopyrite oxidation
41673	chalcopyrite oxidation
28034	covellite oxidation
160660	sphalerite oxidation
47303	sphalerite oxidation
28034	sphalerite oxidation
43687	sphalerite oxidation
47304	sphalerite oxidation
41673	sphalerite oxidation
28034	galena oxidation
160660	galena oxidation
24	uranyl reduction
876	uranyl reduction
160660	uraninite oxidation
47303	uraninite oxidation
43687	uraninite oxidation
47304	uraninite oxidation
38072	iron reduction
28232	iron reduction
40982	iron reduction
35554	iron reduction
35554	cobalt reduction
28232	uranyl reduction
40982	iron reduction
38072	iron reduction
85682	iron reduction
85683	iron reduction
56760	arsenate reduction
85682	arsenate reduction
85683	arsenate reduction
85682	arsenate reduction
85683	arsenate reduction
85682	selenate reduction
85683	selenate reduction
85682	selenate reduction
85683	selenate reduction
85682	selenate reduction
85683	selenate reduction
24	uranyl reduction
876	uranyl reduction
28232	uranyl reduction
56760	arsenate reduction
40982	iron reduction
1392998	methane oxidation
1392998	hydrocarbon degradation
1392998	methane oxidation
1392998	nitrate reduction
1392998	methylotrophy
1392998	nitrate reduction
1392998	methane oxidation
1392998	nitrate reduction
317575	methane oxidation
317575	methylotrophy
317575	hydrocarbon degradation
317575	methane oxidation
317575	methane oxidation
438855	methane oxidation
438855	methane oxidation
438855	methane oxidation
438855	hydrocarbon degradation
438855	methylotrophy
591154	hydrocarbon degradation
591154	methane oxidation
591154	methane oxidation
591154	methylotrophy
591154	methane oxidation
591154	nitrogen fixation
438856	methane oxidation
438856	hydrocarbon degradation
438856	methane oxidation
438856	methane oxidation
438856	methylotrophy
511746	hydrocarbon degradation
511746	methane oxidation
511746	methylotrophy
511746	methane oxidation
511746	methane oxidation
511746	methane oxidation
511746	methylotrophy
511746	methane oxidation
511746	methane oxidation
511746	hydrocarbon degradation
591154	methane oxidation
591154	hydrocarbon degradation
591154	methylotrophy
591154	methane oxidation
591154	methane oxidation
671143	denitrification
671143	methylotrophy
671143	nitrite reduction
671143	methane oxidation
671143	methane oxidation
671143	nitrous oxide reduction
671143	nitrite reduction
671143	hydrocarbon degradation
671143	nitrite reduction
671143	methane oxidation
671143	nitrite reduction
671143	nitrite reduction
134	fermentation
134	methane oxidation
134	methane oxidation
134	hydrocarbon degradation
134	methylotrophy
134	methane oxidation
134	fermentation
426	aliphatic non methane hydrocarbon degradation
426	methane oxidation
426	methane oxidation
426	methylotrophy
426	hydrocarbon degradation
426	methane oxidation
426	aliphatic non methane hydrocarbon degradation
663610	methylotrophy
663610	methane oxidation
663610	methane oxidation
663610	methane oxidation
663610	hydrocarbon degradation
133552	hydrocarbon degradation
133552	methylotrophy
133552	methane oxidation
133552	methane oxidation
133552	nitrogen fixation
133552	methane oxidation
876270	methane oxidation
876270	hydrocarbon degradation
876270	methane oxidation
876270	methylotrophy
876270	methane oxidation
39775	methane oxidation
39775	methane oxidation
39775	methylotrophy
39775	hydrocarbon degradation
39775	methane oxidation
944651	hydrocarbon degradation
944651	methane oxidation
944651	methane oxidation
944651	methylotrophy
944651	methane oxidation
414	methane oxidation
414	hydrocarbon degradation
414	methane oxidation
414	methane oxidation
414	methylotrophy
51353	methane oxidation
51353	methane oxidation
51353	methanol oxidation
51353	methane oxidation
51353	methanol oxidation
51353	methylotrophy
51353	hydrocarbon degradation
421	methane oxidation
421	methane oxidation
421	methylotrophy
421	methane oxidation
421	hydrocarbon degradation
421	hydrocarbon degradation
421	methane oxidation
421	methylotrophy
421	methane oxidation
421	methane oxidation
1410681	hydrocarbon degradation
1410681	methylotrophy
1410681	methane oxidation
1410681	methanol oxidation
1410681	methanol oxidation
1410681	nitrogen fixation
1410681	methane oxidation
1410681	methane oxidation
2208	sulfur reduction
2208	methanogenesis H2CO2
2208	methanogenesis H2CO2
2208	methanogenesis acetoclastic
2208	methanogenesis H2CO2
2208	fermentation
2208	methanogenesis acetoclastic
2208	methanogenesis acetoclastic
2208	nitrogen fixation
2208	methanogenesis H2CO2
2208	fermentation
2208	sulfur reduction
2214	methanogenesis acetoclastic
2214	methanogenesis acetoclastic
2214	nitrogen fixation
2214	methanogenesis H2CO2
2214	methanogenesis H2CO2
2214	methanogenesis H2CO2
2214	methanogenesis H2CO2
2214	methanogenesis acetoclastic
2210	methanogenesis acetoclastic
2210	methanogenesis acetoclastic
2210	methanogenesis acetoclastic
2215	methanogenesis H2CO2
2215	methanogenesis acetoclastic
2215	methanogenesis acetoclastic
2215	methanogenesis acetoclastic
2215	methanogenesis H2CO2
2215	methanogenesis H2CO2
2215	methanogenesis H2CO2
263906	methanogenesis
263906	methanogenesis
263906	methanogenesis H2CO2
263906	methanogenesis H2CO2
263906	methanogenesis H2CO2
263906	methanogenesis
263906	methanogenesis H2CO2
547055	methanogenesis H2CO2
547055	methanogenesis
547055	methanogenesis
547055	methanogenesis H2CO2
547055	hydrogen oxidation dark
547055	methanogenesis H2CO2
547055	methanogenesis H2CO2
547055	methanogenesis
1036678	methanogenesis H2CO2
1036678	methanogenesis H2CO2
1036678	methanogenesis
1036678	methanogenesis H2CO2
1036678	methanogenesis H2CO2
1036678	methanogenesis
1036678	methanogenesis
1615586	methanogenesis H2CO2
1615586	methanogenesis
1615586	methanogenesis H2CO2
1615586	methanogenesis
1615586	methanogenesis
1615586	methanogenesis H2CO2
1615586	methanogenesis H2CO2
1615586	hydrogen oxidation dark
83986	methanogenesis
83986	methanogenesis
83986	methanogenesis
2198	methanogenesis
2198	methanogenesis
2198	methanogenesis
83986	methanogenesis
83986	methanogenesis
83986	methanogenesis
72612	methanogenesis
72612	methanogenesis
72612	methanogenesis
2200	methanogenesis
2200	methanogenesis
2200	methanogenesis
358766	methanogenesis H2CO2
358766	methanogenesis H2CO2
358766	hydrogen oxidation dark
358766	methanogenesis H2CO2
358766	methanogenesis H2CO2
483896	methanogenesis H2CO2
483896	hydrogen oxidation dark
483896	methanogenesis H2CO2
483896	methanogenesis H2CO2
483896	methanogenesis H2CO2
408577	hydrogen oxidation dark
408577	methanogenesis
408577	methanogenesis H2CO2
408577	methanogenesis
408577	methanogenesis
408577	methanogenesis H2CO2
408577	methanogenesis H2CO2
408577	methanogenesis H2CO2
710190	methanogenesis H2CO2
710190	methanogenesis H2CO2
710190	methanogenesis H2CO2
710190	methanogenesis H2CO2
710190	hydrogen oxidation dark
710191	methanogenesis H2CO2
710191	methanogenesis H2CO2
710191	hydrogen oxidation dark
710191	methanogenesis H2CO2
710191	methanogenesis H2CO2
877455	methanogenesis
877455	methanogenesis H2CO2
877455	methylotrophy
877455	methanogenesis H2CO2
877455	methanol oxidation
877455	methanogenesis H2CO2
877455	methanogenesis
877455	methanogenesis H2CO2
877455	methanol oxidation
877455	methanogenesis
877455	hydrogen oxidation dark
680118	methanogenesis H2CO2
680118	methanogenesis H2CO2
680118	methanogenesis H2CO2
680118	hydrogen oxidation dark
680118	methanogenesis H2CO2
91560	methanogenesis H2CO2
91560	methanogenesis
91560	methanogenesis
91560	methanogenesis
2317	methanogenesis H2CO2
2317	methanogenesis
2317	methanogenesis
2317	hydrogen oxidation dark
2317	methanogenesis
1080712	methanogenesis
1080712	methanogenesis H2CO2
1080712	hydrogen oxidation dark
1080712	methanogenesis
1080712	methanogenesis
1234667	methanogenesis H2CO2
1234667	methanogenesis
1234667	methanogenesis
1234667	hydrogen oxidation dark
1234667	methanogenesis
1577791	methanogenesis
1577791	methanogenesis
1577791	methanogenesis
1577791	methanogenesis H2CO2
1577791	hydrogen oxidation dark
882104	methanogenesis H2CO2
882104	methanogenesis H2CO2
2226	methanol oxidation
2226	methanol oxidation
2226	methylotrophy
2226	methanogenesis
1406512	methanogenesis
1291540	methanogenesis
1291540	methylotrophy
1291540	methylotrophy
266	nitrate reduction
266	nitrate reduction
266	nitrate reduction
266	nitrate reduction
266	nitrate reduction
266	nitrate reduction
266	nitrate reduction
266	nitrate reduction
266	nitrate reduction
266	nitrite reduction
266	nitrite reduction
266	nitrite reduction
266	nitrite reduction
266	nitrite reduction
266	nitrite reduction
266	nitrite reduction
266	nitrite reduction
266	denitrification
266	denitrification
266	denitrification
266	denitrification
266	sulfide oxidation dark
266	denitrification
266	denitrification
266	denitrification
266	denitrification
266	nitrite reduction
266	nitrite reduction
266	nitrite reduction
266	nitrite reduction
266	denitrification
266	denitrification
266	denitrification
266	denitrification
266	methanol oxidation
266	nitrite reduction
266	nitrite reduction
266	nitrite reduction
266	nitrite reduction
266	denitrification
266	denitrification
266	denitrification
266	denitrification
266	sulfide oxidation dark
266	methanol oxidation
266	nitrous oxide reduction
266	nitrous oxide reduction
266	nitrous oxide reduction
266	nitrous oxide reduction
266	methylotrophy
266	denitrification
266	denitrification
266	denitrification
266	denitrification
266	methylotrophy
34002	methylotrophy
34002	methanol oxidation
34002	methanol oxidation
65735	nitrous oxide reduction
65735	nitrite reduction
65735	methanol oxidation
65735	denitrification
65735	denitrification
65735	methanol oxidation
65735	methylotrophy
65735	nitrite reduction
65735	nitrite reduction
65735	denitrification
65735	nitrate reduction
65735	denitrification
65735	nitrate reduction
65735	denitrification
65735	nitrate reduction
65735	nitrite reduction
34007	nitrate reduction
34007	methanol oxidation
34007	nitrite reduction
34007	denitrification
34007	methylotrophy
34007	nitrite reduction
34007	denitrification
34007	methanol oxidation
34007	sulfur oxidation dark
34007	denitrification
34007	nitrous oxide reduction
34007	nitrite reduction
34007	denitrification
34007	nitrate reduction
34007	denitrification
34007	nitrate reduction
34007	nitrite reduction
34007	sulfur oxidation dark
135742	methanol oxidation
135742	methylotrophy
135742	nitrate reduction
135742	methanol oxidation
135742	nitrate reduction
135742	nitrate reduction
135740	methanol oxidation
135740	methylotrophy
135740	methanol oxidation
645887	methylotrophy
645887	methanol oxidation
645887	methanol oxidation
645887	hydrogen oxidation dark
645887	acetogenesis
47679	methanol oxidation
47679	methylotrophy
47679	methanol oxidation
112900	methylotrophy
112900	methanol oxidation
112900	methanol oxidation
204936	methanol oxidation
204936	aromatic compound degradation
204936	methanol oxidation
204936	methylotrophy
204936	aromatic compound degradation
112901	methanol oxidation
112901	methylotrophy
112901	methanol oxidation
2378	methanol oxidation
2378	methylotrophy
2378	acetogenesis
2378	methanol oxidation
2376	methanol oxidation
2376	methylotrophy
2376	methanol oxidation
55504	methanol oxidation
55504	methanol oxidation
55504	methylotrophy
2377	methanol oxidation
2377	methanol oxidation
2377	methylotrophy
81409	aromatic compound degradation
81409	methanol oxidation
81409	acetogenesis
81409	aromatic compound degradation
81409	methylotrophy
81409	methanol oxidation
81409	fermentation
81409	fermentation
81409	hydrogen oxidation dark
398773	methanol oxidation
398773	methylotrophy
398773	methanol oxidation
455253	methylotrophy
455253	methanol oxidation
455253	methanol oxidation
492670	methanol oxidation
492670	methanol oxidation
492670	methylotrophy
492670	nitrate reduction
328552	nitrite reduction
328552	denitrification
328552	nitrite reduction
328552	methylotrophy
328552	nitrate reduction
328552	denitrification
328552	denitrification
328552	methanol oxidation
328552	nitrous oxide reduction
328552	nitrate reduction
328552	nitrite reduction
328552	methanol oxidation
328552	denitrification
328552	denitrification
328552	nitrite reduction
57480	aerobic chemo heterotrophy
57480	denitrification
57480	nitrite reduction
57480	nitrite reduction
57480	aerobic chemo heterotrophy
57480	nitrous oxide reduction
57480	nitrate reduction
57480	denitrification
57480	nitrite reduction
57480	denitrification
57480	methanol oxidation
57480	nitrate reduction
57480	nitrous oxide reduction
57480	methylotrophy
57480	methanol oxidation
57480	nitrite reduction
57480	denitrification
57480	denitrification
57480	nitrite reduction
209650	aerobic chemo heterotrophy
209650	methylotrophy
209650	iron reduction
209650	sulfur oxidation dark
209650	methanol oxidation
209650	aerobic chemo heterotrophy
209650	methanol oxidation
209650	sulfur oxidation dark
616952	methylotrophy
616952	aerobic chemo heterotrophy
616952	methanol oxidation
616952	aerobic chemo heterotrophy
616952	methanol oxidation
476652	sulfur reduction
476652	methanol oxidation
476652	sulfate reduction
476652	methylotrophy
476652	thiosulfate reduction
476652	nitrate reduction
476652	sulfur reduction
476652	methanol oxidation
476652	iron reduction
476652	nitrate reduction
476652	fermentation
476652	fermentation
476652	nitrate reduction
476652	thiosulfate reduction
476652	sulfate reduction
437	methanol oxidation
437	methanol oxidation
437	methylotrophy
47914	methylotrophy
47914	methanol oxidation
47914	methanol oxidation
1810	methylotrophy
1810	methanol oxidation
1810	methanol oxidation
1665	manganese oxidation
1665	nitrate reduction to ammonia
1665	nitrate reduction
1665	nitrate reduction to ammonia
1665	methanol oxidation
1665	nitrite reduction to ammonia
1665	ligninolysis
1665	fermentation
1665	nitrate reduction
1665	nitrate reduction to ammonia
1665	nitrate reduction to ammonia
1665	fermentation
1665	methanol oxidation
1665	methylotrophy
1665	nitrite reduction
1665	nitrite reduction to ammonia
1665	ligninolysis
1665	nitrate reduction
47915	methanol oxidation
47915	methanol oxidation
47915	methylotrophy
1560	nitrogen fixation
1560	methylotrophy
1560	methanol oxidation
1560	methanol oxidation
1736	methanol oxidation
1736	acetogenesis
1736	methanol oxidation
1736	methylotrophy
1736	fermentation
1736	fermentation
1471	methanol oxidation
1471	methylotrophy
1471	methanol oxidation
878	thiosulfate reduction
878	thiosulfate reduction
878	fermentation
878	sulfur reduction
878	methylotrophy
878	hydrogen oxidation dark
878	fermentation
878	sulfur reduction
878	methanol oxidation
878	methanol oxidation
921	thiosulfate oxidation dark
921	nitrate reduction
921	methylotrophy
921	nitrate reduction
921	methanol oxidation
921	sulfite oxidation dark
921	thiosulfate oxidation dark
921	sulfur oxidation dark
921	aerobic chemo heterotrophy
921	sulfur oxidation dark
921	aerobic chemo heterotrophy
921	nitrate reduction
921	methanol oxidation
569860	methylotrophy
569860	methanol oxidation
569860	nitrogen fixation
569860	methanol oxidation
48076	aromatic compound degradation
48076	aromatic compound degradation
48076	methanol oxidation
48076	methanol oxidation
48076	methylotrophy
59610	fermentation
59610	thiosulfate reduction
59610	fermentation
59610	methanol oxidation
59610	methanol oxidation
59610	methylotrophy
59610	sulfate reduction
59610	manganese reduction
59610	thiosulfate reduction
59610	iron reduction
59610	sulfur reduction
59610	sulfur reduction
59610	sulfate reduction
1704088	methanol oxidation
1704088	methylotrophy
1704088	methanol oxidation
105560	methylotrophy
105560	aromatic compound degradation
