tax_id	carbon_substrates
279572	arabinose, cellobiose, fucose, galactose, gelatin, glucose, glycerol, lactose, salicin, xylose
279574	arabinose, cellobiose, fucose, galactose, glucose, glycerol, N-acetylgulcosamine, raffinose, salicin, sucrose
269420	arabinose, cellobiose, fructose, fucose, galactose, glucose, glycerol, glycogen, maltose, mannitol, mannose, melibiose, N-acetylgulcosamine, raffinose, sucrose
269421	acetate, arabinose, cellobiose, fructose, fucose, galactose, glucose, glycerol, glycogen, maltose, raffinose, rhamnose, ribose, salicin, sucrose, trehalose, xylose
293890	acetate, alanine, alanine, fructose, glycine, glycogen, leucine, rhamnose
424795	arabinose, cellobiose, fructose, fucose, galactose, glucose, glycerol, glycogen, maltose, mannose, N-acetylgulcosamine, phenylacetate, raffinose, rhamnose, salicin, sucrose, trehalose, xylose
555371	arabinose, galactose, lactose, mannitol, melibiose, raffinose, ribose, sucrose, xylose
248902	arabinose, cellobiose, galactose, glucose, glycerol, lactose, maltose, mannose, melibiose, N-acetylgulcosamine, raffinose, rhamnose, ribose, salicin, sucrose, xylose
574349	5-ketogluconate, acetate, adonitol, alanine, alaninamide, alanine, alpha-cyclodextrin, arabinose, arabitol, asparagine, aspartate, cellobiose, citrate, dextrin, formic acid, fructose, fucose, galactonic acid, galactose, galacturonic acid, glucuronamide, glucose, glutamate, glycerol, glycogen, histidine, hyrdoxyproline, lactate, lactose, malonate, maltose, mannitol, mannose, melibiose, methyl pyruvate, methyl beta-D-glucoside, myo-inositol, N-acetylgulcosamine, ornithine, proline, propionate, raffinose, rhamnose, ribose, serine, sorbitol, succinate, sucrose, threonine, trehalose, Tween 20, Tween 40, Tween 80, uridine, urocanic acid, xylitol, xylose
990712	acetate, alpha-cyclodextrin, arabitol, cellobiose, fructose, glucose, glycerol, glycogen, lactate, maltose, mannitol, mannose, sucrose, thymidine, trehalose, Tween 40, Tween 80, xylitol
356660	arabinose, xylose
413232	acetate, arabinose, citrate, glucose, malate, mannitol, phenylacetate, propionate, pyruvate
285091	3-hydroxybutyrate, acetate, citrate, lactate, methyl pyruvate, propionate, pyruvate, Tween 40, Tween 80
519051	3-hydroxybutyrate, acetate, propionate, pyruvic acid methyl ester, succinate, Tween 40, Tween 80
1177169	acetate, formic acid, glycine, lactate, methyl pyruvate, propionate, Tween 40, Tween 80
221126	cellobiose, fucose, galactose, glucose, lactose, maltose, mannose, N-acetylgulcosamine, rhamnose, sucrose, Tween 20, Tween 40, xylose
425498	arabinose, glucose, lactose, mannose, sorbitol
1285464	fructose, galactose, glucose, mannose, xylose
1343161	galactose, glucose, sucrose
1298735	cellobiose, galactose, glucose, lactose, maltose, xylose
1128113	citrate, galactose, glucose, maltose, mannose, Tween 20, Tween 40, Tween 80
1128113	citrate, galactose, glucose, maltose, mannose
1128113	citrate, galactose, glucose, maltose, mannose, Tween 20, Tween 40, Tween 80
382454	acetate, propionate, pyruvate
475299	asparagine, cellobiose, dextrin, fructose, galactose, glucose, glycerol, glycogen, lactose, maltose, mannose, myo-inositol, N-acetylgulcosamine, succinate, sucrose, trehalose, Tween 20
490186	adonitol, cellobiose, fructose, galactose, glycogen, lactose, leucine, maltose, mannose, melibiose, methyl beta-D-glucoside, raffinose, salicin, sucrose, trehalose, Tween 20, Tween 40, Tween 60, Tween 80
237018	arabinose, cellobiose, fucose, gelatin, glucose, lactose, mannitol, mannose, melibiose, N-acetylgulcosamine, rhamnose, sucrose, Tween 20, Tween 40, Tween 80, xylose
